Age,Gender,Education,Marital_Status,Job_Type,Region,Income,Expenses,Savings,Credit_Score,Years_of_Experience,Loan_Amount,Loan_Approval,Default_Risk,Future_Income
56,Female,Bachelor,Single,Education,North,48353,28561,23863,501,37,415204,0,0,56040
69,Other,Bachelor,Married,Unemployed,East,57462,39671,21336,751,51,100862,1,0,68516
46,Female,Bachelor,Divorced,Healthcare,North,44219,17505,33720,486,26,258727,0,0,49016
32,Male,Master,Single,Construction,South,56306,18301,43973,667,14,202228,1,0,77005
60,Male,PhD,Married,Finance,East,37034,27287,15776,639,40,413551,0,0,51286
25,Other,Bachelor,Single,Finance,South,47886,16174,33932,561,6,269746,0,1,44308
38,Male,Bachelor,Divorced,IT,East,54748,23177,35277,842,18,359439,1,0,57049
56,Female,Bachelor,Married,Unemployed,West,52844,34224,22232,605,40,322769,1,0,59241
36,Male,High School,Single,IT,East,25918,13081,8800,464,16,352864,0,0,26842
40,Male,PhD,Divorced,IT,South,43414,32046,18712,387,26,241474,0,0,56189
28,Female,Bachelor,Married,Education,West,75161,33746,35068,499,8,486674,0,0,80473
28,Male,High School,Single,Unemployed,West,42613,13036,35137,570,14,496675,0,1,53994
41,Male,Bachelor,Divorced,Construction,South,50237,22623,30948,350,24,373608,0,0,60263
53,Male,Master,Divorced,Education,South,48698,28684,20592,788,36,348078,1,1,42786
57,Female,High School,Divorced,IT,North,73523,35876,41602,497,42,229537,0,0,76624
41,Male,High School,Widowed,IT,South,69355,39354,34093,322,22,197327,0,1,66831
20,Male,Bachelor,Divorced,Unemployed,East,62112,45857,11716,522,2,196333,0,0,65078
39,Female,Master,Divorced,Unemployed,West,35401,26771,17710,520,19,20903,0,0,43898
19,Male,High School,Married,Finance,North,55387,23981,33766,565,3,409525,0,0,56931
41,Male,Master,Widowed,Education,North,58519,31077,41015,372,24,433699,0,0,65722
61,Female,Bachelor,Divorced,Education,North,39520,22707,22761,376,43,238715,0,1,36668
47,Female,High School,Married,Unemployed,West,36942,28613,10575,843,31,13070,0,0,38599
55,Male,Bachelor,Married,Construction,North,75575,60407,13717,734,35,388522,1,0,92227
19,Female,Bachelor,Single,Education,West,45487,19000,27932,364,1,38217,0,0,56712
38,Female,PhD,Single,Unemployed,West,74224,49246,27727,656,23,396445,1,0,78263
50,Male,PhD,Widowed,Construction,North,64956,31764,42519,317,36,362105,0,0,77483
29,Female,High School,Married,Healthcare,West,56118,17062,47189,735,15,263453,1,0,59928
39,Male,Bachelor,Divorced,Unemployed,North,56787,17298,43746,740,23,66305,1,1,71321
61,Male,PhD,Divorced,Construction,South,28993,15374,24464,308,40,20106,0,1,40565
42,Female,Bachelor,Married,IT,East,53101,28895,16125,769,26,300981,1,0,72642
66,Male,Bachelor,Widowed,Healthcare,South,71255,22180,53388,647,50,271161,1,0,78307
44,Female,High School,Divorced,Finance,East,60220,38749,29749,671,24,34420,1,0,82613
59,Male,Master,Widowed,Finance,West,52315,23384,33668,474,45,491919,0,0,55183
45,Male,Bachelor,Married,Finance,West,75679,43889,27125,814,27,368267,1,0,85508
33,Male,Bachelor,Widowed,IT,North,47224,21272,34899,429,13,280726,0,1,54076
32,Male,Bachelor,Single,Unemployed,South,40706,15613,30899,592,12,84403,0,0,44192
64,Female,High School,Widowed,Finance,South,52307,26341,29681,652,43,482421,1,0,60815
68,Female,High School,Widowed,Construction,West,61497,25591,38347,523,53,473979,0,0,68982
61,Female,PhD,Divorced,Unemployed,South,24233,13749,22452,823,45,374830,0,1,29097
69,Female,Master,Widowed,IT,East,54273,21677,36818,808,51,186623,1,0,65721
20,Female,Bachelor,Divorced,Education,West,62155,34446,28499,667,5,348627,1,0,69384
54,Female,High School,Divorced,IT,North,45955,17402,26496,799,35,344612,1,0,53064
68,Male,Bachelor,Single,IT,North,66604,42325,30066,389,51,253008,0,0,74615
24,Female,Bachelor,Divorced,Education,West,59617,40358,26190,371,9,147057,0,0,60840
38,Female,Bachelor,Married,Construction,West,82120,29168,55234,732,18,404591,1,1,84406
26,Female,PhD,Divorced,Healthcare,North,38740,20683,17268,647,6,282949,0,0,48440
56,Female,High School,Married,Education,East,62460,20951,50159,562,42,22107,0,0,68606
35,Male,Bachelor,Divorced,IT,South,34740,20812,11490,570,15,178473,0,0,41299
21,Female,Bachelor,Married,Finance,West,25769,11137,26479,808,1,78071,0,1,39110
42,Other,Bachelor,Single,Education,West,19467,10975,6819,807,25,435804,0,0,26232
31,Female,Bachelor,Widowed,Education,East,58074,32447,21235,719,12,414686,1,0,62710
