age,education_level,years_experience,job_role,industry,certifications,hours_per_week,location,performance_score,communication_skill,leadership_skill,salary
55,none,21,manager,manufacturing,5,67,remote,52.0,92,21,94600.0
36,high_school,6,,healthcare,3,32,suburban,92.0,2,40,37900.0
53,master,33,support,manufacturing,1,54,urban,12.0,29,55,79800.0
44,phd,26,manager,freelance,3,29,remote,44.0,95,70,99300.0
59,master,35,consultant,healthcare,0,39,suburban,85.0,93,38,66500.0
27,high_school,30,support,IT,1,42,urban,40.0,27,8,47200.0
53,phd,23,researcher,marketing,5,32,remote,67.0,56,51,102000.0
52,high_school,5,analyst,freelance,4,43,urban,50.0,9,42,25300.0
43,none,31,manager,healthcare,7,65,urban,66.0,3,38,86000.0
50,bachelor,8,intern,education,3,26,remote,8.0,12,33,36500.0
58,bachelor,25,researcher,law,0,57,rural,54.0,16,81,56500.0
53,high_school,9,analyst,finance,1,60,urban,95.0,24,7,30500.0
25,phd,25,manager,finance,6,30,suburban,28.0,91,65,124900.0
28,high_school,39,designer,education,1,33,rural,15.0,24,13,71700.0
48,phd,26,sales,freelance,0,27,remote,37.0,45,87,81900.0
37,high_school,33,researcher,education,5,48,urban,46.0,49,68,78000.0
18,phd,28,researcher,finance,7,38,rural,13.0,21,7,113100.0
64,high_school,16,analyst,freelance,4,22,suburban,10.0,30,69,41200.0
62,bachelor,35,designer,education,7,51,suburban,51.0,2,27,77600.0
33,high_school,26,consultant,healthcare,4,45,urban,81.0,4,16,50000.0
55,none,10,analyst,marketing,3,54,rural,70.0,15,51,23000.0
29,bachelor,32,,marketing,0,41,rural,86.0,88,98,61900.0
50,phd,0,intern,healthcare,0,26,remote,30.0,56,15,64500.0
37,phd,37,consultant,IT,0,25,rural,34.0,44,28,92900.0
24,bachelor,15,analyst,manufacturing,1,35,urban,94.0,79,98,51200.0
37,phd,38,support,IT,2,50,suburban,85.0,62,39,111500.0
63,none,9,consultant,manufacturing,6,31,suburban,39.0,78,22,31000.0
43,bachelor,35,,marketing,5,41,rural,11.0,10,38,62900.0
60,high_school,34,designer,freelance,0,30,urban,99.0,61,87,32500.0
62,none,14,analyst,freelance,7,63,suburban,52.0,82,64,53800.0
19,high_school,7,developer,IT,4,22,suburban,86.0,91,54,45300.0
39,none,24,intern,manufacturing,2,56,urban,42.0,82,57,45100.0
57,none,32,designer,manufacturing,3,41,suburban,3.0,98,20,49500.0
52,bachelor,17,intern,IT,2,57,suburban,7.0,87,26,56600.0
38,high_school,2,support,marketing,6,15,urban,12.0,63,44,35100.0
57,bachelor,20,sales,IT,6,49,rural,18.0,69,8,70500.0
47,,8,consultant,education,0,23,remote,27.0,88,25,17100.0
31,bachelor,31,analyst,manufacturing,1,65,remote,44.0,68,80,70200.0
57,none,16,sales,manufacturing,0,48,suburban,6.0,24,29,42500.0
24,high_school,1,designer,marketing,1,66,remote,76.0,43,34,22900.0
25,high_school,0,analyst,IT,5,10,rural,40.0,26,96,27200.0
32,,0,,marketing,1,32,urban,70.0,97,73,16800.0
58,high_school,39,analyst,law,6,38,rural,2.0,96,36,65800.0
62,master,1,support,healthcare,6,14,suburban,97.0,40,95,44100.0
25,phd,5,sales,manufacturing,0,10,remote,42.0,44,7,48600.0
24,none,37,manager,marketing,5,17,suburban,32.0,1,33,90900.0
34,master,1,analyst,law,1,56,suburban,39.0,72,70,43300.0
25,,19,intern,healthcare,3,69,urban,0.0,75,90,57900.0
58,master,29,researcher,manufacturing,5,62,rural,39.0,90,21,97500.0
45,master,2,support,healthcare,1,54,remote,97.0,99,77,43500.0
62,none,26,sales,education,3,61,suburban,47.0,72,90,55800.0
44,none,13,intern,IT,2,51,rural,18.0,14,75,29400.0
39,phd,15,researcher,IT,4,24,remote,100.0,28,11,86900.0
62,bachelor,7,intern,healthcare,2,17,rural,17.0,17,41,43000.0
61,high_school,26,manager,education,1,16,suburban,2.0,65,77,76400.0
